ds,yhat,yhat_lower,yhat_upper
2019-02-08,47.735338172278304,38.72754878475021,57.197513999070694
2019-02-11,47.79922055839796,38.5080162774015,57.20917669481898
2019-02-12,47.43139296873663,38.34942718301567,56.370607690979355
2019-02-13,47.28166865587641,37.102645402572655,56.266940280414346
2019-02-14,46.99410399528452,37.71210094542051,56.65987197370935
2019-02-15,46.624793916508565,37.044341143293586,56.2997420560293
2019-02-19,45.19664967750624,35.35009201424609,54.50190846868869
2019-02-20,44.82703361822827,34.94846138134547,53.957319340180184
2019-02-21,44.35078247974581,34.852957395363354,53.955019290246405
2019-02-22,43.82649571217441,34.95619592677605,53.495847720697355
2019-02-25,42.768089858511125,33.57843635803651,52.13280396473103
2019-02-26,42.14560996354911,33.48545850057003,51.7201934463703
2019-02-27,41.80692889390077,32.85402485113965,50.39158829290664
2019-02-28,41.398138390864354,32.379602362356174,50.476447056572816
2019-03-01,40.97630514177833,31.826218800669913,50.02509727803989
2019-03-04,40.41268610011752,30.57242084638049,49.161699838473496
2019-03-05,40.008063838418856,30.468799412990585,49.127043504954834
2019-03-06,39.908123416271565,30.775486845520657,49.64776049380863
2019-03-07,39.75526097853448,30.84341341428243,49.16991930570284
2019-03-08,39.60271292712589,30.16143879566865,49.00151967131659
2019-03-11,39.888223129431275,30.65917738334323,49.36085486593392
2019-03-12,39.76772301082513,29.68456111251245,48.83152539883682
2019-03-13,39.94646009925644,31.27071709679434,49.52614719317641
2019-03-14,40.063569058144566,31.081220519767218,49.2445890941704
2019-03-15,40.16930980835382,30.778924429371454,49.525269256566176
2019-03-18,41.134830390726954,32.10905936129822,49.70619526327652
2019-03-19,41.20296502950785,31.944700162929223,50.71715200055843
2019-03-20,41.549075406257714,32.28972864689899,50.74613548671863
2019-03-21,41.81153369128049,32.50939991295205,51.236788415193786
2019-03-22,42.040215423107135,32.884656703894684,51.591061733045656
2019-03-25,43.24152805015404,33.91284272586722,51.956740931080006
2019-03-26,43.34595323210278,34.02979353400293,52.49169511609731
2019-03-27,43.70888375304471,33.90518644276529,53.03952929966618
2019-03-28,43.97002015352912,34.28369949714293,53.152654289351794
2019-03-29,44.18072111895443,35.170334288666695,53.474845807433155
2019-04-01,45.2444049705218,35.83204648405002,54.13375749978432
2019-04-02,45.280671975249376,35.61927781991017,54.40116244313128
2019-04-03,45.56707168587042,36.24341574557325,55.11335708601096
2019-04-04,45.744870594009754,36.651823679881815,55.07134366159333
2019-04-05,45.866889238192734,37.01860206717879,55.29675910633925
2019-04-08,46.64506554765437,37.73510552903983,56.66838913814727
2019-04-09,46.58310725645536,36.77215492572292,55.987066522587895
2019-04-10,46.771056356604966,36.86877305945612,55.49908812079328
2019-04-11,46.85071177663716,37.50656115980571,56.49473997091638
2019-04-12,46.87526833974192,37.8929477524304,56.02380562313706
2019-04-15,47.36678586883698,38.36792526956808,56.41326648090891
2019-04-16,47.21115041197768,37.49775025220706,56.38872067212467
2019-04-17,47.30612665077226,38.46389766697437,55.99114485366001
2019-04-18,47.293291974609936,38.17186711148416,57.22079475432157
2019-04-22,47.43959435665217,38.37741424568332,56.71582274204316
2019-04-23,47.190672206073785,37.538359880696184,55.98654410639511
2019-04-24,47.191888746647955,37.910869800402374,56.85300004282235
2019-04-25,47.08490991585827,38.33295819655723,56.37763457509747
2019-04-26,46.92288510500962,37.02727972698605,55.93779515692879
2019-04-29,46.856434072942946,37.56170505098662,55.61245594479755
2019-04-30,46.51667467825124,36.82114473724027,55.95949848695522
2019-05-01,46.42953722621419,37.33151004860553,56.46374884510225
2019-05-02,46.23751973746787,36.54325889187632,56.26857112512347
2019-05-03,45.99467268321539,35.894485496999536,55.67894104541263
2019-05-06,45.72068298661643,36.09817536724288,55.118793526749954
2019-05-07,45.326646108357224,36.27958867163409,54.81701028770905
2019-05-08,45.19425280870367,35.513733911004515,54.13431372049692
2019-05-09,44.96685666525832,35.792334218018524,54.254656088630824
2019-05-10,44.69927245432807,34.97601330064637,54.03815394728153
2019-05-13,44.4207442493807,35.03342515015766,53.04608967220248
2019-05-14,44.04962569088727,34.66077231215028,52.99345042090303
2019-05-15,43.95255240183592,34.51388799948534,53.50798850944169
2019-05-16,43.772719110058915,34.062388485426425,52.856246855711035
2019-05-17,43.56459532700073,34.08671752227047,52.36882806403996
2019-05-20,43.52964132259227,34.3794495079698,53.165929344241334
2019-05-21,43.25852606830983,34.158390630199534,52.34958253884728
2019-05-22,43.269023286208075,33.70282018625381,53.05709998300038
2019-05-23,43.20303635136348,33.87310858328088,52.467955183326886
2019-05-24,43.11365039632458,33.93839624320991,51.20471673090386
2019-05-28,43.30204445576784,34.1699566291231,52.96763720101739
2019-05-29,43.43366949351246,34.231009906041265,52.29889054756789
2019-05-30,43.48503113923069,33.929250681629334,52.31681415642249
2019-05-31,43.507985262078186,34.327090973452485,52.71554440150105
2019-06-03,44.140771617034915,35.06765420288889,54.00454284458899
2019-06-04,44.07627129141618,35.2302017594583,53.02027748195975
2019-06-05,44.282224297734366,34.88469686734181,53.27110298023623
2019-06-06,44.39904476276615,35.38842868875682,53.2819930457225
2019-06-07,44.47865016465951,35.08597710999017,54.05463444266462
2019-06-10,45.23222124592236,35.19325866692913,54.666872150903345
2019-06-11,45.19375422499733,36.304818971212086,53.83581981128196
2019-06-12,45.42011150101466,35.40992782829749,54.85589733119504
