ds,yhat,yhat_lower,yhat_upper
2023-02-06,146.93477930475103,141.39986524627125,152.2705976959073
2023-02-07,147.04133807824368,141.61570344272306,152.35447513152317
2023-02-08,146.99444476462847,141.5473488007902,152.6537711156941
2023-02-09,147.39192962001158,142.02363091735296,152.77686149311432
2023-02-10,147.7597678735148,142.51410151338914,153.12540668353304
2023-02-13,148.3810966034374,142.73288198575074,153.88526707170718
2023-02-14,148.4876553769307,142.9120408874432,153.90755328790468
2023-02-15,148.4407620633152,143.14112010193492,153.81999065758492
2023-02-16,148.83824691869862,143.41846232960634,154.71518605361217
2023-02-17,149.20608517488247,143.73142103079334,154.30150637390236
2023-02-21,149.93397268902015,144.78826619996937,155.7494581598983
2023-02-22,149.88707937808547,144.4107165238364,155.07827630943157
2023-02-23,150.284564236149,144.77717753667991,155.49247661980615
2023-02-24,150.65240249233233,145.04934294365358,155.84035090865828
2023-02-27,151.27373123029727,145.85226190050804,156.59353831713463
2023-02-28,151.38029000647168,146.10110380146364,156.7014334076726
2023-03-01,151.33339669553632,146.1760947435957,156.58516133365544
2023-03-02,151.74769869791584,146.4983259202328,157.24008873361691
2023-03-03,152.13235409841477,146.98791602707462,157.87961255901
2023-03-06,152.80413426932685,147.69700213366332,158.11792404433777
2023-03-07,152.92751018981562,147.53743406029582,158.33117063334024
2023-03-08,152.89743402319613,147.28447677839748,158.14690372315107
2023-03-09,153.31173602557536,147.806018944068,158.3984313619704
2023-03-10,153.6963914260749,147.91085248701793,159.1378742257852
2023-03-13,154.36817159698631,148.90091047454032,160.04863741777964
2023-03-14,154.56966327038083,149.60881261520532,159.92187931471452
2023-03-15,154.61770285666685,149.6912655122552,160.46654743838127
2023-03-16,155.11012061195197,149.42347044457762,160.2564667696295
2023-03-17,155.57289176535704,149.7342896758328,160.90063597327963
2023-03-20,156.47901919498383,151.03753245761564,161.6128098115198
2023-03-21,156.68051086837903,151.28494795784275,161.92310767828218
2023-03-22,156.72855045466525,151.47947528351224,162.2079535790235
2023-03-23,157.22096820995057,151.7974535929908,162.53997217990283
2023-03-24,157.6838145335825,152.41116595407937,162.88734348322507
2023-03-27,158.59016747389262,153.33230811591358,163.89162379489605
2023-03-28,158.79173431751371,153.5279047563896,164.29784321112237
2023-03-29,158.83984907402723,153.6404674117759,164.01961997708347
2023-03-30,159.332341999539,154.1520245702858,164.7605122621577
2023-03-31,159.7951883231727,154.98162014728328,165.33631932258186
